GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0030312	external encapsulating structure	57	4	0.25	8.4e-05
2	GO:0071944	cell periphery	111	4	0.49	0.0011
3	GO:0005576	extracellular region	33	1	0.14	0.1386
4	GO:0016020	membrane	1408	8	6.17	0.2559
5	GO:0031224	intrinsic component of membrane	649	4	2.85	0.3291
6	GO:0048046	apoplast	21	1	0.09	0.6364
7	GO:0110165	cellular anatomical entity	2897	13	12.7	0.7392
8	GO:0005618	cell wall	54	4	0.24	0.8006
9	GO:0005737	cytoplasm	467	1	2.05	0.8988
10	GO:0016021	integral component of membrane	641	4	2.81	0.9515
11	GO:0005622	intracellular anatomical structure	1664	1	7.3	1.0000
12	GO:0005575	cellular_component	2965	13	13	1.0000
13	GO:0000015	phosphopyruvate hydratase complex	3	0	0.01	1.0000
14	GO:0000123	histone acetyltransferase complex	14	0	0.06	1.0000
15	GO:0000126	transcription factor TFIIIB complex	3	0	0.01	1.0000
16	GO:0000139	Golgi membrane	9	0	0.04	1.0000
17	GO:0000145	exocyst	24	0	0.11	1.0000
18	GO:0000148	1,3-beta-D-glucan synthase complex	11	0	0.05	1.0000
19	GO:0000151	ubiquitin ligase complex	8	0	0.04	1.0000
20	GO:0000152	nuclear ubiquitin ligase complex	6	0	0.03	1.0000
21	GO:0000159	protein phosphatase type 2A complex	11	0	0.05	1.0000
22	GO:0000178	exosome (RNase complex)	5	0	0.02	1.0000
23	GO:0000228	nuclear chromosome	22	0	0.1	1.0000
24	GO:0000275	mitochondrial proton-transporting ATP sy...	4	0	0.02	1.0000
25	GO:0000276	mitochondrial proton-transporting ATP sy...	4	0	0.02	1.0000
26	GO:0000428	DNA-directed RNA polymerase complex	19	0	0.08	1.0000
27	GO:0000439	transcription factor TFIIH core complex	6	0	0.03	1.0000
28	GO:0000502	proteasome complex	29	0	0.13	1.0000
29	GO:0000775	chromosome, centromeric region	8	0	0.04	1.0000
