GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0016757	glycosyltransferase activity	280	6	1.49	0.00065
2	GO:0052689	carboxylic ester hydrolase activity	50	3	0.27	0.00887
3	GO:0016798	hydrolase activity, acting on glycosyl b...	237	6	1.26	0.01146
4	GO:0120227	acyl-CoA binding	6	1	0.03	0.01479
5	GO:1901567	fatty acid derivative binding	6	1	0.03	0.02205
6	GO:0030151	molybdenum ion binding	6	1	0.03	0.04714
7	GO:0003824	catalytic activity	4654	31	24.8	0.05051
8	GO:0033218	amide binding	14	1	0.07	0.05074
9	GO:1901681	sulfur compound binding	16	1	0.09	0.05778
10	GO:0016717	oxidoreductase activity, acting on paire...	11	1	0.06	0.06962
11	GO:0050113	inositol oxygenase activity	3	1	0.02	0.07500
12	GO:0016491	oxidoreductase activity	938	10	5	0.07720
13	GO:0043169	cation binding	1089	7	5.8	0.07748
14	GO:0005516	calmodulin binding	23	1	0.12	0.09656
15	GO:0016671	oxidoreductase activity, acting on a sul...	13	1	0.07	0.10833
16	GO:0003993	acid phosphatase activity	13	1	0.07	0.11207
17	GO:0016787	hydrolase activity	1312	12	6.99	0.13530
18	GO:0008234	cysteine-type peptidase activity	46	1	0.25	0.14935
19	GO:0003779	actin binding	14	1	0.07	0.15054
20	GO:0016760	cellulose synthase (UDP-forming) activit...	4	1	0.02	0.16000
21	GO:0016759	cellulose synthase activity	4	1	0.02	0.16466
22	GO:0022804	active transmembrane transporter activit...	156	2	0.83	0.17615
23	GO:0016645	oxidoreductase activity, acting on the C...	18	1	0.1	0.17692
24	GO:0046527	glucosyltransferase activity	47	2	0.25	0.18757
25	GO:0016746	acyltransferase activity	172	2	0.92	0.20196
26	GO:0004386	helicase activity	51	1	0.27	0.20545
27	GO:0008094	ATP-dependent activity, acting on DNA	37	1	0.2	0.22686
28	GO:0004497	monooxygenase activity	24	1	0.13	0.22930
29	GO:0030599	pectinesterase activity	31	3	0.17	0.22934
30	GO:0016701	oxidoreductase activity, acting on singl...	25	1	0.13	0.23774
31	GO:0030246	carbohydrate binding	80	1	0.43	0.25872
32	GO:0043531	ADP binding	110	1	0.59	0.25962
33	GO:0005525	GTP binding	177	1	0.94	0.26170
34	GO:0016160	amylase activity	11	1	0.06	0.26440
35	GO:0005507	copper ion binding	38	1	0.2	0.26847
36	GO:0015291	secondary active transmembrane transport...	82	2	0.44	0.27469
37	GO:0140097	catalytic activity, acting on DNA	76	1	0.4	0.29008
38	GO:0016209	antioxidant activity	66	1	0.35	0.29801
39	GO:0046914	transition metal ion binding	751	6	4	0.32295
40	GO:0005515	protein binding	2054	9	10.94	0.33656
41	GO:0008092	cytoskeletal protein binding	93	1	0.5	0.34154
42	GO:0046906	tetrapyrrole binding	181	1	0.96	0.38921
43	GO:1901265	nucleoside phosphate binding	1562	5	8.32	0.39679
44	GO:0035251	UDP-glucosyltransferase activity	25	1	0.13	0.41439
45	GO:0140657	ATP-dependent activity	268	2	1.43	0.42028
46	GO:0032561	guanyl ribonucleotide binding	177	1	0.94	0.42387
47	GO:0019001	guanyl nucleotide binding	181	1	0.96	0.43052
48	GO:0016788	hydrolase activity, acting on ester bond...	364	4	1.94	0.43719
49	GO:0016684	oxidoreductase activity, acting on perox...	56	1	0.3	0.46133
50	GO:0033743	peptide-methionine (R)-S-oxide reductase...	6	1	0.03	0.46154
51	GO:0003678	DNA helicase activity	28	1	0.15	0.46667
52	GO:0098772	molecular function regulator activity	122	1	0.65	0.48111
53	GO:0005215	transporter activity	487	3	2.59	0.48466
54	GO:0043167	ion binding	2549	10	13.58	0.48965
55	GO:0015297	antiporter activity	61	2	0.32	0.55104
56	GO:0016747	acyltransferase activity, transferring g...	135	2	0.72	0.61506
57	GO:0016887	ATP hydrolysis activity	122	1	0.65	0.63454
58	GO:0045300	acyl-[acyl-carrier-protein] desaturase a...	7	1	0.04	0.63636
59	GO:0004857	enzyme inhibitor activity	72	1	0.38	0.67290
60	GO:0004553	hydrolase activity, hydrolyzing O-glycos...	223	6	1.19	0.69117
61	GO:0016762	xyloglucan:xyloglucosyl transferase acti...	21	1	0.11	0.69935
62	GO:0004672	protein kinase activity	767	1	4.09	0.73318
63	GO:0016667	oxidoreductase activity, acting on a sul...	120	1	0.64	0.74740
64	GO:0009378	four-way junction helicase activity	21	1	0.11	0.75000
65	GO:0000166	nucleotide binding	1562	5	8.32	0.76467
66	GO:0005506	iron ion binding	165	1	0.88	0.77557
67	GO:0036094	small molecule binding	1648	5	8.78	0.77907
68	GO:0097367	carbohydrate derivative binding	1400	4	7.46	0.80303
69	GO:0003677	DNA binding	795	1	4.24	0.80888
70	GO:0016791	phosphatase activity	116	1	0.62	0.81690
71	GO:0004601	peroxidase activity	54	1	0.29	0.81818
72	GO:0016161	beta-amylase activity	9	1	0.05	0.81818
73	GO:0016301	kinase activity	872	1	4.65	0.82420
74	GO:0016773	phosphotransferase activity, alcohol gro...	872	1	4.65	0.82420
75	GO:0140640	catalytic activity, acting on a nucleic ...	262	1	1.4	0.83506
76	GO:0008233	peptidase activity	308	1	1.64	0.84074
77	GO:0016817	hydrolase activity, acting on acid anhyd...	187	1	1	0.84334
78	GO:0016705	oxidoreductase activity, acting on paire...	158	1	0.84	0.84345
79	GO:0140110	transcription regulator activity	349	1	1.86	0.85053
80	GO:0022857	transmembrane transporter activity	371	2	1.98	0.85741
81	GO:0042578	phosphoric ester hydrolase activity	142	1	0.76	0.86310
82	GO:0030234	enzyme regulator activity	107	1	0.57	0.87705
83	GO:0032553	ribonucleotide binding	1385	4	7.38	0.88586
84	GO:0008194	UDP-glycosyltransferase activity	85	1	0.45	0.88858
85	GO:0017076	purine nucleotide binding	1380	4	7.35	0.89347
86	GO:0032559	adenyl ribonucleotide binding	1196	3	6.37	0.91462
87	GO:0030554	adenyl nucleotide binding	1200	3	6.39	0.91507
88	GO:0016740	transferase activity	1844	9	9.82	0.92077
89	GO:0016758	hexosyltransferase activity	229	4	1.22	0.92397
90	GO:0046872	metal ion binding	1077	7	5.74	0.92517
91	GO:0003700	DNA-binding transcription factor activit...	326	1	1.74	0.93410
92	GO:0016462	pyrophosphatase activity	171	1	0.91	0.93443
93	GO:0008270	zinc ion binding	530	3	2.82	0.93476
94	GO:0032555	purine ribonucleotide binding	1372	4	7.31	0.94099
95	GO:0003676	nucleic acid binding	1413	2	7.53	0.94747
96	GO:0017111	nucleoside-triphosphatase activity	163	1	0.87	0.95322
97	GO:1901363	heterocyclic compound binding	3032	8	16.15	0.95403
98	GO:0097159	organic cyclic compound binding	3032	8	16.15	0.95403
99	GO:0016818	hydrolase activity, acting on acid anhyd...	183	1	0.97	0.97861
100	GO:0043168	anion binding	1515	3	8.07	0.98661
101	GO:0020037	heme binding	179	1	0.95	0.98895
102	GO:0035639	purine ribonucleoside triphosphate bindi...	1258	2	6.7	0.98937
103	GO:0005488	binding	5394	20	28.74	0.99614
104	GO:0005524	ATP binding	1081	1	5.76	0.99801
105	GO:0016772	transferase activity, transferring phosp...	1058	1	5.64	0.99955
106	GO:0140096	catalytic activity, acting on a protein	1441	2	7.68	0.99985
107	GO:0003674	molecular_function	9197	49	49	1.00000
108	GO:0000062	fatty-acyl-CoA binding	6	1	0.03	1.00000
109	GO:0000049	tRNA binding	6	0	0.03	1.00000
110	GO:0000155	phosphorelay sensor kinase activity	10	0	0.05	1.00000
111	GO:0000287	magnesium ion binding	65	0	0.35	1.00000
112	GO:0000295	adenine nucleotide transmembrane transpo...	3	0	0.02	1.00000
113	GO:0000774	adenyl-nucleotide exchange factor activi...	4	0	0.02	1.00000
114	GO:0001882	nucleoside binding	7	0	0.04	1.00000
115	GO:0002161	aminoacyl-tRNA editing activity	3	0	0.02	1.00000
116	GO:0003682	chromatin binding	19	0	0.1	1.00000
117	GO:0003684	damaged DNA binding	11	0	0.06	1.00000
118	GO:0003690	double-stranded DNA binding	48	0	0.26	1.00000
119	GO:0003697	single-stranded DNA binding	16	0	0.09	1.00000
120	GO:0003712	transcription coregulator activity	23	0	0.12	1.00000
121	GO:0003713	transcription coactivator activity	4	0	0.02	1.00000
122	GO:0003723	RNA binding	238	0	1.27	1.00000
123	GO:0003729	mRNA binding	5	0	0.03	1.00000
124	GO:0003735	structural constituent of ribosome	303	0	1.61	1.00000
125	GO:0003743	translation initiation factor activity	38	0	0.2	1.00000
126	GO:0003746	translation elongation factor activity	13	0	0.07	1.00000
127	GO:0003747	translation release factor activity	10	0	0.05	1.00000
128	GO:0003755	peptidyl-prolyl cis-trans isomerase acti...	31	0	0.17	1.00000
129	GO:0003774	cytoskeletal motor activity	81	0	0.43	1.00000
130	GO:0003777	microtubule motor activity	63	0	0.34	1.00000
