GO.ID	Term	Annotated	Significant	Expected	Fisher
1	GO:0000922	spindle pole	8	1	0.02	0.019
2	GO:0005815	microtubule organizing center	12	1	0.03	0.029
3	GO:0032993	protein-DNA complex	34	1	0.08	0.050
4	GO:0005819	spindle	15	1	0.04	0.054
5	GO:0044815	DNA packaging complex	38	1	0.09	0.056
6	GO:0000785	chromatin	44	1	0.1	0.102
7	GO:0005694	chromosome	87	1	0.21	0.295
8	GO:0005634	nucleus	535	3	1.26	0.296
9	GO:0043229	intracellular organelle	1296	4	3.06	0.367
10	GO:0043226	organelle	1297	4	3.06	0.387
11	GO:0005856	cytoskeleton	150	1	0.35	0.476
12	GO:0031224	intrinsic component of membrane	649	2	1.53	0.488
13	GO:0043231	intracellular membrane-bounded organelle	802	3	1.89	0.507
14	GO:0043227	membrane-bounded organelle	803	3	1.9	0.508
15	GO:0043228	non-membrane-bounded organelle	544	2	1.28	0.558
16	GO:0043232	intracellular non-membrane-bounded organ...	544	2	1.28	0.559
17	GO:0005622	intracellular anatomical structure	1664	4	3.93	0.659
18	GO:0015630	microtubule cytoskeleton	105	1	0.25	0.700
19	GO:0000786	nucleosome	34	1	0.08	0.708
20	GO:0016020	membrane	1408	3	3.32	0.750
21	GO:0032991	protein-containing complex	678	1	1.6	0.838
22	GO:0110165	cellular anatomical entity	2897	7	6.84	0.850
23	GO:0016021	integral component of membrane	641	2	1.51	0.975
24	GO:0005575	cellular_component	2965	7	7	1.000
25	GO:0000015	phosphopyruvate hydratase complex	3	0	0.01	1.000
26	GO:0000123	histone acetyltransferase complex	14	0	0.03	1.000
27	GO:0000126	transcription factor TFIIIB complex	3	0	0.01	1.000
28	GO:0000139	Golgi membrane	9	0	0.02	1.000
29	GO:0000145	exocyst	24	0	0.06	1.000
30	GO:0000148	1,3-beta-D-glucan synthase complex	11	0	0.03	1.000
31	GO:0000151	ubiquitin ligase complex	8	0	0.02	1.000
32	GO:0000152	nuclear ubiquitin ligase complex	6	0	0.01	1.000
33	GO:0000159	protein phosphatase type 2A complex	11	0	0.03	1.000
34	GO:0000178	exosome (RNase complex)	5	0	0.01	1.000
35	GO:0000228	nuclear chromosome	22	0	0.05	1.000
36	GO:0000275	mitochondrial proton-transporting ATP sy...	4	0	0.01	1.000
37	GO:0000276	mitochondrial proton-transporting ATP sy...	4	0	0.01	1.000
38	GO:0000428	DNA-directed RNA polymerase complex	19	0	0.04	1.000
39	GO:0000439	transcription factor TFIIH core complex	6	0	0.01	1.000
40	GO:0000502	proteasome complex	29	0	0.07	1.000
41	GO:0000775	chromosome, centromeric region	8	0	0.02	1.000
42	GO:0000776	kinetochore	3	0	0.01	1.000
43	GO:0000779	condensed chromosome, centromeric region	3	0	0.01	1.000
44	GO:0000793	condensed chromosome	12	0	0.03	1.000
45	GO:0000794	condensed nuclear chromosome	4	0	0.01	1.000
46	GO:0000796	condensin complex	4	0	0.01	1.000
47	GO:0000808	origin recognition complex	4	0	0.01	1.000
48	GO:0005576	extracellular region	33	0	0.08	1.000
49	GO:0005615	extracellular space	3	0	0.01	1.000
50	GO:0005618	cell wall	54	0	0.13	1.000
51	GO:0005635	nuclear envelope	15	0	0.04	1.000
52	GO:0005643	nuclear pore	14	0	0.03	1.000
53	GO:0005654	nucleoplasm	33	0	0.08	1.000
54	GO:0005667	transcription regulator complex	35	0	0.08	1.000
55	GO:0005669	transcription factor TFIID complex	5	0	0.01	1.000
56	GO:0005672	transcription factor TFIIA complex	3	0	0.01	1.000
57	GO:0005680	anaphase-promoting complex	6	0	0.01	1.000
58	GO:0005681	spliceosomal complex	14	0	0.03	1.000
59	GO:0005685	U1 snRNP	4	0	0.01	1.000
60	GO:0005730	nucleolus	6	0	0.01	1.000
61	GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	5	0	0.01	1.000
62	GO:0005737	cytoplasm	467	0	1.1	1.000
63	GO:0005739	mitochondrion	101	0	0.24	1.000
64	GO:0005740	mitochondrial envelope	46	0	0.11	1.000
65	GO:0005741	mitochondrial outer membrane	13	0	0.03	1.000
66	GO:0005742	mitochondrial outer membrane translocase...	5	0	0.01	1.000
67	GO:0005743	mitochondrial inner membrane	27	0	0.06	1.000
68	GO:0005744	TIM23 mitochondrial import inner membran...	5	0	0.01	1.000
69	GO:0005746	mitochondrial respirasome	7	0	0.02	1.000
70	GO:0005747	mitochondrial respiratory chain complex ...	3	0	0.01	1.000
71	GO:0005750	mitochondrial respiratory chain complex ...	3	0	0.01	1.000
72	GO:0005753	mitochondrial proton-transporting ATP sy...	8	0	0.02	1.000
73	GO:0005759	mitochondrial matrix	10	0	0.02	1.000
74	GO:0005773	vacuole	6	0	0.01	1.000
75	GO:0005774	vacuolar membrane	6	0	0.01	1.000
76	GO:0005777	peroxisome	32	0	0.08	1.000
77	GO:0005778	peroxisomal membrane	11	0	0.03	1.000
78	GO:0005779	integral component of peroxisomal membra...	9	0	0.02	1.000
79	GO:0005783	endoplasmic reticulum	75	0	0.18	1.000
80	GO:0005784	Sec61 translocon complex	3	0	0.01	1.000
81	GO:0005787	signal peptidase complex	7	0	0.02	1.000
82	GO:0005789	endoplasmic reticulum membrane	42	0	0.1	1.000
83	GO:0005791	rough endoplasmic reticulum	4	0	0.01	1.000
84	GO:0005794	Golgi apparatus	30	0	0.07	1.000
85	GO:0005798	Golgi-associated vesicle	10	0	0.02	1.000
86	GO:0005801	cis-Golgi network	7	0	0.02	1.000
87	GO:0005811	lipid droplet	3	0	0.01	1.000
88	GO:0005829	cytosol	6	0	0.01	1.000
89	GO:0005834	heterotrimeric G-protein complex	3	0	0.01	1.000
90	GO:0005838	proteasome regulatory particle	3	0	0.01	1.000
91	GO:0005839	proteasome core complex	24	0	0.06	1.000
92	GO:0005840	ribosome	299	0	0.71	1.000
93	GO:0005849	mRNA cleavage factor complex	3	0	0.01	1.000
94	GO:0005852	eukaryotic translation initiation factor...	15	0	0.04	1.000
95	GO:0005853	eukaryotic translation elongation factor...	4	0	0.01	1.000
96	GO:0005871	kinesin complex	63	0	0.15	1.000
97	GO:0005874	microtubule	24	0	0.06	1.000
98	GO:0005875	microtubule associated complex	73	0	0.17	1.000
99	GO:0005884	actin filament	4	0	0.01	1.000
100	GO:0005885	Arp2/3 protein complex	8	0	0.02	1.000
101	GO:0005886	plasma membrane	30	0	0.07	1.000
102	GO:0005905	clathrin-coated pit	5	0	0.01	1.000
103	GO:0005938	cell cortex	24	0	0.06	1.000
104	GO:0005956	protein kinase CK2 complex	4	0	0.01	1.000
105	GO:0005963	magnesium-dependent protein serine/threo...	11	0	0.03	1.000
106	GO:0008023	transcription elongation factor complex	7	0	0.02	1.000
107	GO:0008250	oligosaccharyltransferase complex	3	0	0.01	1.000
108	GO:0008287	protein serine/threonine phosphatase com...	11	0	0.03	1.000
109	GO:0008303	caspase complex	4	0	0.01	1.000
110	GO:0009331	glycerol-3-phosphate dehydrogenase compl...	4	0	0.01	1.000
111	GO:0009507	chloroplast	12	0	0.03	1.000
112	GO:0009512	cytochrome b6f complex	4	0	0.01	1.000
113	GO:0009521	photosystem	55	0	0.13	1.000
114	GO:0009522	photosystem I	17	0	0.04	1.000
115	GO:0009523	photosystem II	36	0	0.08	1.000
116	GO:0009536	plastid	12	0	0.03	1.000
117	GO:0009538	photosystem I reaction center	8	0	0.02	1.000
118	GO:0009539	photosystem II reaction center	7	0	0.02	1.000
119	GO:0009579	thylakoid	61	0	0.14	1.000
120	GO:0009654	photosystem II oxygen evolving complex	23	0	0.05	1.000
121	GO:0009898	cytoplasmic side of plasma membrane	3	0	0.01	1.000
122	GO:0012505	endomembrane system	134	0	0.32	1.000
123	GO:0012506	vesicle membrane	20	0	0.05	1.000
124	GO:0012507	ER to Golgi transport vesicle membrane	10	0	0.02	1.000
125	GO:0012510	trans-Golgi network transport vesicle me...	5	0	0.01	1.000
126	GO:0012511	monolayer-surrounded lipid storage body	3	0	0.01	1.000
127	GO:0015629	actin cytoskeleton	40	0	0.09	1.000
128	GO:0015934	large ribosomal subunit	16	0	0.04	1.000
129	GO:0015935	small ribosomal subunit	4	0	0.01	1.000
130	GO:0016272	prefoldin complex	6	0	0.01	1.000
131	GO:0016459	myosin complex	18	0	0.04	1.000
132	GO:0016469	proton-transporting two-sector ATPase co...	46	0	0.11	1.000
133	GO:0016471	vacuolar proton-transporting V-type ATPa...	4	0	0.01	1.000
134	GO:0016591	RNA polymerase II, holoenzyme	17	0	0.04	1.000
135	GO:0016592	mediator complex	17	0	0.04	1.000
136	GO:0016593	Cdc73/Paf1 complex	5	0	0.01	1.000
137	GO:0017053	transcription repressor complex	6	0	0.01	1.000
138	GO:0017119	Golgi transport complex	4	0	0.01	1.000
139	GO:0019773	proteasome core complex, alpha-subunit c...	13	0	0.03	1.000
140	GO:0019866	organelle inner membrane	28	0	0.07	1.000
141	GO:0019867	outer membrane	18	0	0.04	1.000
142	GO:0019897	extrinsic component of plasma membrane	3	0	0.01	1.000
143	GO:0019898	extrinsic component of membrane	25	0	0.06	1.000
144	GO:0022624	proteasome accessory complex	3	0	0.01	1.000
145	GO:0030014	CCR4-NOT complex	3	0	0.01	1.000
146	GO:0030117	membrane coat	34	0	0.08	1.000
147	GO:0030118	clathrin coat	12	0	0.03	1.000
148	GO:0030119	AP-type membrane coat adaptor complex	10	0	0.02	1.000
149	GO:0030120	vesicle coat	20	0	0.05	1.000
